Conference,ConferenceTitle,Area,AreaTitle,ParentArea,NextTier
aaai,AAAI,ai,Artificial intelligence,AI,false
ijcai,IJCAI,ai,Artificial intelligence,AI,false
icml,ICML,mlmining,Machine learning,AI,false
iclr,ICLR,mlmining,Machine learning,AI,false
kdd,KDD,mlmining,Machine learning,AI,true
nips,NIPS,mlmining,Machine learning,AI,false
popl,POPL,plan,Programming languages,Systems,false
pldi,PLDI,plan,Programming languages,Systems,false
oopsla,OOPSLA,plan,Programming languages,Systems,true
icfp,ICFP,plan,Programming languages,Systems,true
fse,FSE,soft,Software engineering,Systems,false
icse,ICSE,soft,Software engineering,Systems,false
ase,ASE,soft,Software engineering,Systems,true
issta,ISSTA,soft,Software engineering,Systems,true
focs,FOCS,act,Algorithms & complexity,Theory,false
soda,SODA,act,Algorithms & complexity,Theory,false
stoc,STOC,act,Algorithms & complexity,Theory,false
cav,CAV,log,Logic & verification,Theory,false
lics,LICS,log,Logic & verification,Theory,false
acl,ACL,nlp,Natural language processing,AI,false
emnlp,EMNLP,nlp,Natural language processing,AI,false
naacl,NAACL,nlp,Natural language processing,AI,false
