Conference,ConferenceTitle,Area,AreaTitle,ParentArea,NextTier
sigcomm,SIGCOMM,A*,A*,Unknown,False
ccs,CCS,A*,A*,Unknown,False
ec,EC,A*,A*,Unknown,False
sensys,SENSYS,A*,A*,Unknown,False
kdd,KDD,A*,A*,Unknown,False
mobicom,MOBICOM,A*,A*,Unknown,False
sigir,SIGIR,A*,A*,Unknown,False
fse,FSE,A*,A*,Unknown,False
isca,ISCA,A*,A*,Unknown,False
acmmm,ACMMM,A*,A*,Unknown,False
siggraph,SIGGRAPH,A*,A*,Unknown,False
pods,PODS,A*,A*,Unknown,False
sosp,SOSP,A*,A*,Unknown,False
sigmod,SIGMOD,A*,A*,Unknown,False
podc,PODC,A*,A*,Unknown,False
stoc,STOC,A*,A*,Unknown,False
uist,UIST,A*,A*,Unknown,False
popl,POPL,A*,A*,Unknown,False
pldi,PLDI,A*,A*,Unknown,False
soda,SODA,A*,A*,Unknown,False
crypto,CRYPTO,A*,A*,Unknown,False
neurips,NeurIPS,A*,A*,Unknown,False
asplos,ASPLOS,A*,A*,Unknown,False
acl,ACL,A*,A*,Unknown,False
ase,ASE,A*,A*,Unknown,False
cav,CAV,A*,A*,Unknown,False
colt,COLT,A*,A*,Unknown,False
emnlp,EMNLP,A*,A*,Unknown,False
eccv,ECCV,A*,A*,Unknown,False
cvpr,CVPR,A*,A*,Unknown,False
vr,VR,A*,A*,Unknown,False
infocom,INFOCOM,A*,A*,Unknown,False
iccv,ICCV,A*,A*,Unknown,False
icdm,ICDM,A*,A*,Unknown,False
percom,PERCOM,A*,A*,Unknown,False
icra,ICRA,A*,A*,Unknown,False
focs,FOCS,A*,A*,Unknown,False
lics,LICS,A*,A*,Unknown,False
sp,SP,A*,A*,Unknown,False
ismar,ISMAR,A*,A*,Unknown,False
ipsn,IPSN,A*,A*,Unknown,False
icaps,ICAPS,A*,A*,Unknown,False
icde,ICDE,A*,A*,Unknown,False
chi,CHI,A*,A*,Unknown,False
iclr,ICLR,A*,A*,Unknown,False
icml,ICML,A*,A*,Unknown,False
icse,ICSE,A*,A*,Unknown,False
kr,KR,A*,A*,Unknown,False
eurocrypt,EuroCrypt,A*,A*,Unknown,False
vldb,VLDB,A*,A*,Unknown,False
ijcai,IJCAI,A*,A*,Unknown,False
aamas,AAMAS,A*,A*,Unknown,False
hpca,HPCA,A*,A*,Unknown,False
www,WWW,A*,A*,Unknown,False
sigmetrics,SIGMETRICS,A*,A*,Unknown,False
aaai,AAAI,A*,A*,Unknown,False
rtss,RTSS,A*,A*,Unknown,False
ndss,NDSS,A*,A*,Unknown,False
usenix-security,USENIX-Security,A*,A*,Unknown,False
osdi,OSDI,A*,A*,Unknown,False
