Conference,ConferenceTitle,Area,AreaTitle,ParentArea,NextTier
neurips,NeurIPS,A*,A*,AI,False
sigcomm,SIGCOMM,A*,A*,Systems,False
stoc,STOC,A*,A*,Theory,False
ccs,CCS,A*,A*,Systems,False
ec,EC,A*,A*,Interdisciplinary Areas,False
cscw,CSCW,A,A,Unknown,False
sensys,SENSYS,A*,A*,Systems,False
oopsla,OOPSLA,A,A,Systems,False
sigspatial,SIGSPATIAL,A,A,Unknown,False
conext,CoNEXT,A,A,Unknown,False
cikm,CIKM,A,A,Unknown,False
kdd,KDD,A*,A*,AI,False
mobicom,MOBICOM,A*,A*,Systems,False
recsys,RecSys,A,A,Unknown,False
sigir,SIGIR,A*,A*,AI,False
ics,ICS,A,A,Systems,False
fse,FSE,A*,A*,Systems,False
wsdm,WSDM,A,A,Unknown,False
isca,ISCA,A*,A*,Systems,False
hpdc,HPDC,A,A,Systems,False
acmmm,ACMMM,A*,A*,Unknown,False
siggraph,SIGGRAPH,A*,A*,Interdisciplinary Areas,False
mobisys,Mobisys,A,A,Systems,False
pods,PODS,A*,A*,Systems,False
sosp,SOSP,A*,A*,Systems,False
sigcse,SIGCSE,A,A,Interdisciplinary Areas,False
sigmod,SIGMOD,A*,A*,Systems,False
mobihoc,MOBIHOC,A,A,Unknown,False
podc,PODC,A*,A*,Unknown,False
uist,UIST,A*,A*,Interdisciplinary Areas,False
vrst,VRST,A,A,Unknown,False
popl,POPL,A*,A*,Systems,False
pldi,PLDI,A*,A*,Systems,False
hri,HRI,A,A,Unknown,False
mswim,MSWIM,A,A,Unknown,False
middleware,Middleware,A,A,Unknown,False
soda,SODA,A*,A*,Theory,False
crypto,CRYPTO,A*,A*,Theory,False
acsac,ACSAC,A,A,Unknown,False
asplos,ASPLOS,A*,A*,Systems,False
asiaccs,AsiaCCS,A,A,Unknown,False
acl,ACL,A*,A*,AI,False
ase,ASE,A*,A*,Systems,False
bmvc,BMVC,A,A,Unknown,False
cav,CAV,A*,A*,Theory,False
uai,UAI,A,A,Unknown,False
fast,FAST,A,A,Systems,False
cidr,CIDR,A,A,Unknown,False
ipco,IPCO,A,A,Unknown,False
itp,ITP,A,A,Unknown,False
colt,COLT,A*,A*,Unknown,False
dis,DIS,A,A,Unknown,False
emnlp,EMNLP,A*,A*,AI,False
eacl,EACL,A,A,Unknown,False
ecai,ECAI,A,A,Unknown,False
eccv,ECCV,A*,A*,AI,False
ecir,ECIR,A,A,Unknown,False
ecml pkdd,ECML PKDD,A,A,Unknown,False
ecoop,ECOOP,A,A,Unknown,False
ecsa,ECSA,A,A,Unknown,False
esa,ESA,A,A,Unknown,False
esop,ESOP,A,A,Unknown,False
esorics,ESORICS,A,A,Unknown,False
eurosys,EuroSys,A,A,Systems,False
edbt,EDBT,A,A,Unknown,False
fc,FC,A,A,Unknown,False
foga,FOGA,A,A,Unknown,False
fossacs,FOSSACS,A,A,Unknown,False
gecco,GECCO,A,A,Unknown,False
gd,GD,A,A,Unknown,False
csf,CSF,A,A,Unknown,False
ccc,CCC,A,A,Unknown,False
cvpr,CVPR,A*,A*,AI,False
vr,VR,A*,A*,Interdisciplinary Areas,False
euros&p,EuroS&P,A,A,Unknown,False
infocom,INFOCOM,A*,A*,Unknown,False
iccv,ICCV,A*,A*,AI,False
icdm,ICDM,A*,A*,Unknown,False
icdar,ICDAR,A,A,Unknown,False
icme,ICME,A,A,Unknown,False
percom,PERCOM,A*,A*,Unknown,False
icpc,ICPC,A,A,Unknown,False
icra,ICRA,A*,A*,Interdisciplinary Areas,False
saner,SANER,A,A,Unknown,False
icsme,ICSME,A,A,Unknown,False
icws,ICWS,A,A,Unknown,False
ipdps,IPDPS,A,A,Unknown,False
re,RE,A,A,Unknown,False
msr,MSR,A,A,Unknown,False
rtas,RTAS,A,A,Systems,False
focs,FOCS,A*,A*,Theory,False
lics,LICS,A*,A*,Theory,False
sp,SP,A*,A*,Unknown,False
ieee vis,IEEE VIS,A,A,Interdisciplinary Areas,False
wacv,WACV,A,A,Unknown,False
iccad,ICCAD,A,A,Systems,False
ismar,ISMAR,A*,A*,Unknown,False
dsn,DSN,A,A,Unknown,False
iros,IROS,A,A,Interdisciplinary Areas,False
ipsn,IPSN,A*,A*,Unknown,False
itcs,ITCS,A,A,Unknown,False
assets,ASSETS,A,A,Unknown,False
icalp,ICALP,A,A,Unknown,False
icer,ICER,A,A,Unknown,False
sc,SC,A,A,Systems,False
bpm,BPM,A,A,Unknown,False
caise,CaiSE,A,A,Unknown,False
aistats,AISTATS,A,A,Unknown,False
aied,AIED,A,A,Unknown,False
cade,CADE,A,A,Unknown,False
icaps,ICAPS,A*,A*,Unknown,False
